Player,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player,Bust
Pat Connaughton,SF,pat-connaughton,2015,-0.833781871,0.000664804,0.08891347,0.432599715,0.47782201
R.J. Hunter,SG,rj-hunter,2015,-0.836776877,0.004112703,0.121239491,0.385605421,0.489042385
Jerian Grant,PG,jerian-grant,2015,-0.869777062,0.001169979,0.130352495,0.345982451,0.522495076
Olivier Hanlan,SG,olivier-hanlan,2015,-0.939601082,0.000227369,0.058708643,0.482292406,0.458771582
Branden Dawson,SF,branden-dawson,2015,-0.94832171,0.000308971,0.093166238,0.391170861,0.51535393
Robert Upshaw,C,robert-upshaw,2015,-0.953017497,0.000216394,0.088032316,0.38180529,0.529946
Tyler Harvey,SG,tyler-harvey,2015,-0.963286998,0.0,0.045680357,0.485580914,0.468738729
Darrun Hilliard,SG,darrun-hilliard,2015,-0.997597057,0.001336934,0.058581954,0.430904831,0.509176281
Tyler Haws,SG,tyler-haws,2015,-1.014375418,0.001035564,0.038756025,0.476593937,0.483614474
Treveon Graham,SG,treveon-graham,2015,-1.026896912,0.001371164,0.075528744,0.379480354,0.543619737
Rakeem Christmas,PF,rakeem-christmas,2015,-1.037407078,0.000103674,0.074800607,0.399359049,0.52573667
Kenneth Smith,PG,3-kenneth-smith,2015,-1.039547879,0.000746776,0.073520453,0.35809779,0.567634981
Michael Qualls,SG,3-michael-qualls,2015,-1.041676256,0.005867204,0.056290419,0.39026949,0.547572888
Aaron White,PF,5-aaron-white,2015,-1.044431359,0.000858212,0.090374546,0.358788407,0.549978835
Alan Williams,PF,3-alan-williams,2015,-1.051104888,0.00100349,0.027920018,0.449342651,0.52173384
Shannon Scott,PG,shannon-scott,2015,-1.061872742,0.001596119,0.068008751,0.356970581,0.573424549
Isaac Fotu,PF,isaac-fotu,2015,-1.065081918,0.001318013,0.054936126,0.384945795,0.558800066
Keifer Sykes,PG,keifer-sykes,2015,-1.083833575,0.002417356,0.04982042,0.387609233,0.560152991
Juwan Staten,PG,juawn-staten,2015,-1.095315539,0.000476844,0.038064935,0.414884254,0.546573966
Corey Hawkins,SG,corey-hawkins,2015,-1.096899647,0.000108822,0.033205484,0.436069852,0.530615842
D.J. Newbill,SG,devonte-newbill,2015,-1.108784009,0.000554941,0.026482771,0.436494657,0.536467631
Josh Richardson,SG,2-josh-richardson,2015,-1.125029822,0.000131253,0.056205838,0.376816007,0.566846902
Jonathan Holmes,SF,2-jonathan-holmes,2015,-1.13357382,0.0,0.053248718,0.365396839,0.581354443
Joseph Young,SG,joseph-young,2015,-1.138828781,8.03961e-05,0.04891635,0.394276343,0.55672691
Wesley Saunders,SG,wesley-saunders,2015,-1.171996457,0.000373186,0.036596138,0.387045086,0.575985589
Richaun Holmes,PF,richaun-holmes,2015,-1.186744347,0.000357099,0.060157338,0.314633278,0.624852285
Anthony Brown,SG,3-anthony-brown,2015,-1.187041132,0.0,0.038678905,0.379622804,0.581698291
Norman Powell,SG,norman-powell,2015,-1.189678464,0.0,0.03610954,0.38697547,0.576914989
Josh Smith,C,9-josh-smith,2015,-1.192473127,0.0,0.026755605,0.382057886,0.591186509
Derrick Marks,SG,derrick-marks,2015,-1.199786481,0.001857445,0.030881673,0.379643412,0.587617469
Marcus Thornton,SG,2-marcus-thornton,2015,-1.202113387,0.000489255,0.021634511,0.389748446,0.588127788
Terran Petteway,SG,terran-petteway,2015,-1.207198123,0.0,0.035343103,0.367281274,0.597375623
Seth Tuttle,PF,seth-tuttle,2015,-1.221872777,0.0,0.03687377,0.358785304,0.604340925
Trevor Lacey,SG,trevor-lacey,2015,-1.2269165,0.0,0.033303382,0.357759442,0.608937176
Dez Wells,SG,dezmine-wells,2015,-1.244978961,0.000229033,0.022535212,0.384498234,0.59273752
"Larry Nance, Jr.",PF,larry-nance-jr,2015,-1.254446537,0.0,0.030613137,0.339796126,0.629590736
Sir`Dominic Pointer,SF,sir-dominic-pointer,2015,-1.301544045,0.0,0.029016181,0.320955511,0.650028307
Briante Weber,PG,briante-weber,2015,-1.308756716,0.004466226,0.037216853,0.286508463,0.671808458
Cady Lalanne,PF,cady-lalanne,2015,-1.312742518,0.0,0.022921295,0.33122696,0.645851745
Joel Embiid,C,joel-embiid,2014,1.164983449,0.147866667,0.398188095,0.234645238,0.2193
Marcus Smart,PG,marcus-smart,2014,0.9972632,0.163507826,0.363845589,0.142131996,0.33051459
Noah Vonleh,PF,noah-vonieh,2014,0.88516864,0.099,0.461066667,0.1801,0.259833333
Aaron Gordon,PF,aaron-gordon,2014,0.844204419,0.0966,0.4617,0.200033333,0.241666667
Andrew Wiggins,SG,andrew-wiggins,2014,0.694104731,0.110216667,0.42225,0.118,0.349533333
Julius Randle,PF,julius-randle,2014,0.627281437,0.082233333,0.417433333,0.2036,0.296733333
Jabari Parker,SF,jabari-parker,2014,0.514308936,0.0885,0.405,0.152666667,0.353833333
Jordan Adams,SG,2-jordan-adams,2014,0.416089009,0.051623343,0.357780708,0.325513346,0.265082604
Gary Harris,SG,gary-harris,2014,0.298824269,0.068668118,0.334410402,0.310628849,0.286292631
Jarnell Stokes,PF,jarnell-stokes,2014,0.144021715,0.014131988,0.293791082,0.41587172,0.27620521
Nik Stauskas,SG,nik-stauskas,2014,0.09764512,0.016286567,0.302474659,0.390961236,0.290277537
James Young,SF,james-young,2014,0.023821786,0.0317,0.310783333,0.359264286,0.298252381
Glenn Robinson III,SF,glenn-robinson-iii,2014,-0.005355215,0.006183208,0.281363583,0.404918844,0.307534365
Zach LaVine,PG,zach-lavine,2014,-0.04600119,0.032766667,0.2868,0.397933333,0.2825
T.J. Warren,SF,tj-warren,2014,-0.148039157,0.013448779,0.258598773,0.36924236,0.358710088
Mitch McGary,PF,mitch-mcgary,2014,-0.274478981,0.007489118,0.237597619,0.434655687,0.320257575
Elfrid Payton,PG,elfrid-payton,2014,-0.284167648,0.019206755,0.239723996,0.343878864,0.397190385
Kyle Anderson,PF,3-kyle-anderson,2014,-0.291038075,0.012674006,0.254152427,0.329701228,0.40347234
Rodney Hood,SG,rodney-hood,2014,-0.315093348,0.002403967,0.236255935,0.414664765,0.346675333
Tyler Ennis,PG,tyler-ennis,2014,-0.392781623,0.037816667,0.248416667,0.2376,0.476166667
Scottie Wilbekin,PG,scottie-wilbekin,2014,-0.429531082,0.008391528,0.1896991,0.410623309,0.391286062
Jerami Grant,SF,jerami-grant,2014,-0.453116853,0.008432581,0.191915165,0.375301105,0.424351149
Ioannis Papapetrou,SF,ioannis-papapetrou,2014,-0.546537848,0.011866667,0.1737,0.386366667,0.428066667
P.J. Hairston,SG,pj-hairston,2014,-0.571128526,0.004645311,0.176566294,0.402214391,0.416574004
Doug McDermott,SF,doug-mcdermott,2014,-0.592855566,0.008434031,0.170931755,0.419181273,0.401452941
Johnny O`Bryant III,PF,johnny-o-bryant-iii,2014,-0.595490859,0.004936115,0.16872046,0.375714528,0.450628896
Spencer Dinwiddie,PG,spencer-dinwiddie,2014,-0.65617692,0.006796893,0.143349483,0.395656986,0.454196638
Aaron Craft,PG,aaron-craft,2014,-0.688627125,0.002723818,0.167154989,0.349487744,0.480633448
Russ Smith,SG,russ-smith,2014,-0.716167447,0.008371726,0.113620222,0.433192637,0.444815416
Adreian Payne,PF,adreian-payne,2014,-0.761344456,0.000407614,0.151041217,0.405494312,0.443056856
Lamar Patterson,SF,lamar-patterson,2014,-0.765033453,0.00068699,0.119157244,0.434200801,0.445954965
Casey Prather,SF,casey-prather,2014,-0.774441847,0.001530535,0.121648369,0.409966457,0.46685464
K.J. McDaniels,SF,kj-mcdaniels,2014,-0.796472838,0.002848519,0.125553787,0.394025815,0.47757188
Shabazz Napier,PG,shabazz-napier,2014,-0.803921841,0.00112918,0.153899813,0.341044624,0.503926382
Javon McCrea,PF,javon-mccrea,2014,-0.817757422,0.006759709,0.066239509,0.468548353,0.45845243
Travis Bader,SG,travis-bader,2014,-0.832533624,0.0,0.052121788,0.526294472,0.421583739
Patric Young,C,patric-young,2014,-0.835141766,0.001417635,0.134786954,0.393510364,0.470285047
Jabari Brown,SG,jabari-brown,2014,-0.888391954,0.000871092,0.078403416,0.448375023,0.472350468
Cleanthony Early,SF,cleanthony-early,2014,-0.911636168,0.00019739,0.10647912,0.388504497,0.504818993
JaKarr Sampson,PF,jakarr-sampson,2014,-0.967242513,0.003211382,0.083077968,0.36771572,0.545994931
Nick Johnson,SG,7-nick-johnson,2014,-0.972089828,0.001791793,0.088348209,0.383142037,0.526717961
Will Sheehey,SF,will-sheehey,2014,-0.985157118,0.0,0.063033638,0.443120162,0.493846199
Joe Harris,SG,joe-harris,2014,-0.999378558,0.0,0.089270279,0.387283671,0.52344605
Langston Galloway,PG,langston-galloway,2014,-1.021832753,0.0,0.035558574,0.451284827,0.513156599
